Epoch,Train Loss,Train Accuracy,Val Loss,Val Accuracy,Learning Rate
1,0.7990722979642282,77.45600697759392,0.28492941351368456,91.46378118425008,0.001
2,0.3917010175376754,89.129333003312,0.2306036409621059,93.10690311592025,0.001
3,0.3098693094247893,91.25914925214809,0.20496678873172267,94.31920649233544,0.001
4,0.2667160577769005,92.34704100515069,0.18384374413586224,94.65985372207194,0.001
5,0.23345084560910018,93.38778685336445,0.19623943611455202,94.42941589019136,0.001
6,0.20716627495595835,94.04075763468995,0.18636862385341643,94.85021540927762,0.001
7,0.18596574738951818,94.65483304456467,0.1755825260773218,95.39124336238854,0.001
8,0.1714023231157505,95.02374974953739,0.17906394129979714,95.17082456667669,0.001
9,0.1575317104340641,95.35141378781985,0.18643876373227067,95.23093878368901,0.001
10,0.147814968159922,95.71443725469396,0.1840133043512949,95.09067227732692,0.001
